environment_id,env_seed,run_within_environment,algorithm_seed,algorithm,wall_clock_s,evaluatePath_calls,search_fitness_calls,rescueA_adopted,rescueB_adopted,search_time_s,topk_time_s,recovery_time_s,actual_iterations_or_nodes,planner_success,budget_reached,timed_out,exception,path_points,J,penalty_total,final_feasible,failure_reason
8,1475,1,1550,Energy-A*,3.6420164,3498,0,0,0,NaN,NaN,NaN,245,1,0,0,0,63,10.5319785047296,0,1,none
8,1475,1,1561,Informed-RRT*,15.0687055,7307,0,0,0,NaN,NaN,NaN,993,1,1,1,0,29,9.63667708777805,0,1,none
8,1475,1,1572,ST-EA*,2.8678157,2785,0,0,0,NaN,NaN,NaN,117,1,0,0,0,45,8.33604935182957,0,1,none
8,1475,1,1583,Greedy,0.1494326,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,46,9284.10829985125,91.6816703280586,0,final_hard_constraint_violation
8,1475,2,1592,RA-ALA,194.2797579,6749,3240,0,0,187.665313,0.5303522,0,80,1,1,0,0,10,8.11030880794324,0,1,none
8,1475,2,1603,Energy-A*,3.404098,3498,0,0,0,NaN,NaN,NaN,245,1,0,0,0,63,10.5319785047296,0,1,none
8,1475,2,1614,Informed-RRT*,15.0647857,7793,0,0,0,NaN,NaN,NaN,1043,1,1,1,0,30,9.9516881696477,0,1,none
8,1475,2,1625,ST-EA*,2.7088512,2785,0,0,0,NaN,NaN,NaN,117,1,0,0,0,45,8.33604935182957,0,1,none
8,1475,2,1636,Greedy,0.1384312,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,46,9284.10829985125,91.6816703280586,0,final_hard_constraint_violation
8,1475,3,1645,RA-ALA,196.3836885,6749,3240,0,0,190.1065227,0.5647342,0,80,1,1,0,0,10,7.46398302362481,0,1,none
8,1475,3,1656,Energy-A*,3.6425293,3498,0,0,0,NaN,NaN,NaN,245,1,0,0,0,63,10.5319785047296,0,1,none
8,1475,3,1667,Informed-RRT*,15.0906365,7364,0,0,0,NaN,NaN,NaN,1051,1,1,1,0,33,635.137307563922,6.21066230799957,0,timeout_without_feasible_output
8,1475,3,1678,ST-EA*,2.8807493,2785,0,0,0,NaN,NaN,NaN,117,1,0,0,0,45,8.33604935182957,0,1,none
8,1475,3,1689,Greedy,0.1482951,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,46,9284.10829985125,91.6816703280586,0,final_hard_constraint_violation
9,2312,1,2376,RA-ALA,228.0217348,4928,3240,0,0,223.0612841,0.5962601,0,80,1,1,0,0,10,10.8568623219723,0,1,none
9,2312,1,2387,Energy-A*,1.8061928,1677,0,0,0,NaN,NaN,NaN,90,1,0,0,0,56,12.4447663164459,0,1,none
9,2312,1,2398,Informed-RRT*,15.1166137,7393,0,0,0,NaN,NaN,NaN,1005,1,1,1,0,32,125.067051778505,1.1212685517992,0,timeout_without_feasible_output
9,2312,1,2409,ST-EA*,7.552316,7537,0,0,0,NaN,NaN,NaN,315,1,0,0,0,56,11.0575176493341,0,1,none
9,2312,1,2420,Greedy,0.1487203,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,52,8274.11315066841,81.6541566699199,0,final_hard_constraint_violation
9,2312,2,2429,RA-ALA,220.0897882,4928,3240,0,0,215.2229644,0.6120722,0,80,1,1,0,0,10,11.6223535222251,0,1,none
9,2312,2,2440,Energy-A*,1.8073658,1677,0,0,0,NaN,NaN,NaN,90,1,0,0,0,56,12.4447663164459,0,1,none
9,2312,2,2451,Informed-RRT*,15.0856722,7444,0,0,0,NaN,NaN,NaN,939,1,1,1,0,29,36.3212871661697,0.266666666666667,0,timeout_without_feasible_output
9,2312,2,2462,ST-EA*,7.5345943,7537,0,0,0,NaN,NaN,NaN,315,1,0,0,0,56,11.0575176493341,0,1,none
9,2312,2,2473,Greedy,0.1450762,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,52,8274.11315066841,81.6541566699199,0,final_hard_constraint_violation
9,2312,3,2482,RA-ALA,239.3814737,4928,3240,0,0,234.5451746,0.6001069,0,80,1,1,0,0,10,13.8236435173246,0,1,none
9,2312,3,2493,Energy-A*,1.6693287,1677,0,0,0,NaN,NaN,NaN,90,1,0,0,0,56,12.4447663164459,0,1,none
9,2312,3,2504,Informed-RRT*,15.0768666,7789,0,0,0,NaN,NaN,NaN,949,1,1,1,0,33,69.1501996462224,0.572527562414206,0,timeout_without_feasible_output
9,2312,3,2515,ST-EA*,7.0236973,7537,0,0,0,NaN,NaN,NaN,315,1,0,0,0,56,11.0575176493341,0,1,none
9,2312,3,2526,Greedy,0.1363171,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,52,8274.11315066841,81.6541566699199,0,final_hard_constraint_violation
10,2560,1,2624,RA-ALA,198.6208493,6713,3240,0,0,192.0331275,0.8716768,0,80,1,1,0,0,83,10.9225705760482,0,1,none
10,2560,1,2635,Energy-A*,3.6486917,3457,0,0,0,NaN,NaN,NaN,212,1,0,0,0,56,27.4538565399466,0.166743106978164,0,final_hard_constraint_violation
10,2560,1,2646,Informed-RRT*,15.0877827,7303,0,0,0,NaN,NaN,NaN,982,1,1,1,0,31,25.2915147875278,0.132078846403944,0,timeout_without_feasible_output
10,2560,1,2657,ST-EA*,0.0288548,24,0,0,0,NaN,NaN,NaN,1,0,0,0,0,2,NaN,NaN,0,goal_not_reached
10,2560,1,2668,Greedy,0.1170041,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,48,2137.23226614169,20.621458929887,0,final_hard_constraint_violation
10,2560,2,2677,RA-ALA,299.1275241,6715,3240,0,0,291.794068,1.1257342,0.160737,80,0,1,0,0,10,37.7407076719822,0.112243847294786,0,final_hard_constraint_violation
10,2560,2,2688,Energy-A*,3.6111261,3457,0,0,0,NaN,NaN,NaN,212,1,0,0,0,56,27.4538565399466,0.166743106978164,0,final_hard_constraint_violation
10,2560,2,2699,Informed-RRT*,15.0989161,7374,0,0,0,NaN,NaN,NaN,1088,1,1,1,0,37,32.4380909151407,0.148137972427385,0,timeout_without_feasible_output
10,2560,2,2710,ST-EA*,0.0289374,24,0,0,0,NaN,NaN,NaN,1,0,0,0,0,2,NaN,NaN,0,goal_not_reached
10,2560,2,2721,Greedy,0.118857,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,48,2137.23226614169,20.621458929887,0,final_hard_constraint_violation
10,2560,3,2730,RA-ALA,218.0486605,6713,3240,0,0,211.1283561,0.8774361,0,80,1,1,0,0,85,14.5502106618222,0,1,none
10,2560,3,2741,Energy-A*,3.6715011,3457,0,0,0,NaN,NaN,NaN,212,1,0,0,0,56,27.4538565399466,0.166743106978164,0,final_hard_constraint_violation
10,2560,3,2752,Informed-RRT*,15.0835902,7014,0,0,0,NaN,NaN,NaN,1018,1,1,1,0,33,1140.19456929542,11.2025536671517,0,timeout_without_feasible_output
10,2560,3,2763,ST-EA*,0.0294278,24,0,0,0,NaN,NaN,NaN,1,0,0,0,0,2,NaN,NaN,0,goal_not_reached
10,2560,3,2774,Greedy,0.1213988,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,48,2137.23226614169,20.621458929887,0,final_hard_constraint_violation
